SME_ID,Industry,Emirate,Business_Age,Monthly_Revenue,Revenue_Growth,Revenue_Volatility,Transaction_Volume,Receivable_Days,Payable_Days,Cash_Buffer,Financing_Requirement,Repayment_Behaviour
SME0142,F&B,Ajman,1.4,95115,0.214,0.559,179,52,43,19,107856,Excellent
SME0143,Trading,Ajman,6.8,245592,0.039,0.099,411,11,58,6,211976,Fair
SME0144,Construction,Ajman,1.1,280616,0.028,0.046,456,6,11,36,165989,Fair
SME0145,F&B,Dubai,4.7,53697,0.082,0.173,105,31,18,26,38756,Fair
SME0146,E-commerce,Dubai,2.0,199749,0.255,0.248,454,66,24,63,289107,Good
SME0147,Logistics,Sharjah,7.7,71327,0.442,0.116,131,28,9,10,120912,Excellent
SME0148,Construction,Ajman,9.5,104043,0.209,0.169,333,87,33,81,85138,Good
SME0149,F&B,Abu Dhabi,6.1,241683,0.257,0.202,1057,63,32,41,327107,Fair
SME0150,Retail,Ras Al Khaimah,9.8,249811,0.036,0.433,497,82,31,39,213891,Good
SME0151,Professional Services,Dubai,0.5,53864,-0.076,0.084,164,31,23,16,59977,Fair
SME0152,Trading,Ras Al Khaimah,5.4,81874,0.224,0.137,185,20,54,20,109376,Good
SME0153,Retail,Dubai,6.8,63022,0.118,0.133,136,18,19,18,66303,Excellent
SME0154,Construction,Dubai,7.4,325379,-0.233,0.261,678,55,51,56,314113,Good
SME0155,Retail,Abu Dhabi,6.5,46631,0.008,0.414,83,12,19,5,38586,Good
SME0156,Manufacturing,Dubai,7.5,251157,0.062,0.222,457,13,11,23,189127,Good
SME0157,E-commerce,Dubai,5.3,236708,-0.032,0.163,500,27,26,24,210483,Excellent
SME0158,Healthcare,Dubai,1.6,121457,0.406,0.077,306,46,29,17,132723,Fair
SME0159,Manufacturing,Abu Dhabi,3.2,437653,0.186,0.259,945,24,34,12,531396,Good
SME0160,Professional Services,Sharjah,10.7,75809,0.382,0.169,200,75,4,3,116809,Fair
SME0161,Retail,Dubai,9.9,90964,0.138,0.129,213,83,21,23,95078,Good
SME0162,Trading,Sharjah,6.7,66557,0.098,0.169,87,4,77,36,58112,Good
SME0163,E-commerce,Ajman,7.8,297855,-0.126,0.133,631,53,18,26,353053,Fair
SME0164,Retail,Dubai,9.2,56866,0.083,0.115,113,28,46,12,61085,Good
SME0165,Construction,Dubai,6.6,234993,0.083,0.141,643,68,120,24,279081,Good
SME0166,Logistics,Ras Al Khaimah,10.5,133485,-0.221,0.164,233,54,86,64,140232,Good
SME0167,Professional Services,Ajman,10.3,40126,-0.039,0.144,74,44,13,15,28487,Excellent
SME0168,Professional Services,Abu Dhabi,20.9,58507,0.009,0.36,108,37,44,29,58071,Poor
SME0169,Logistics,Ajman,3.3,459459,0.171,0.202,966,13,45,32,416372,Good
SME0170,Hospitality,Dubai,3.3,135971,0.181,0.082,237,131,39,8,180243,Excellent
SME0171,Logistics,Dubai,6.3,60149,-0.048,0.107,100,17,11,20,66349,Fair
SME0172,Construction,Sharjah,15.5,226281,0.183,0.122,468,101,31,20,306436,Excellent
SME0173,E-commerce,Dubai,11.0,110809,0.04,0.808,254,60,30,25,108146,Poor
SME0174,Trading,Sharjah,8.4,2500000,-0.35,0.16,4486,29,10,55,1568650,Good
SME0175,E-commerce,Abu Dhabi,11.5,159870,-0.027,0.225,468,26,22,9,195378,Good
SME0176,Retail,Sharjah,6.8,78942,0.317,0.045,217,12,31,57,95911,Excellent
SME0177,F&B,Abu Dhabi,3.9,310055,-0.29,0.175,699,41,25,38,208039,Excellent
SME0178,Hospitality,Dubai,17.9,23954,0.105,0.46,99,12,41,83,17382,Excellent
SME0179,Trading,Dubai,6.5,165486,0.429,0.146,301,77,22,4,211423,Excellent
SME0180,Manufacturing,Dubai,10.1,1010436,-0.087,0.465,3021,47,29,2,1218976,Good
SME0181,Trading,Sharjah,0.5,138372,0.08,0.104,352,39,48,112,95214,Good
SME0182,Trading,Dubai,0.5,35002,-0.207,0.211,82,42,72,7,27500,Good
SME0183,Construction,Dubai,5.5,124676,0.438,0.216,274,48,11,12,188247,Excellent
SME0184,Logistics,Dubai,2.3,488309,0.062,0.127,1195,32,40,13,617725,Excellent
SME0185,Professional Services,Dubai,5.8,135171,0.09,0.246,306,35,19,37,118192,Excellent
SME0186,Manufacturing,Ajman,3.3,90908,0.378,0.346,205,107,35,21,109652,Excellent
SME0187,Logistics,Dubai,22.8,79214,0.226,0.343,200,73,10,14,137206,Good
SME0188,Retail,Umm Al Quwain,9.6,67796,-0.113,0.506,190,58,55,73,45489,Excellent
SME0189,Manufacturing,Dubai,12.2,252116,-0.062,0.211,435,29,15,3,242866,Good
SME0190,E-commerce,Sharjah,0.6,391300,0.189,0.395,1982,9,48,48,360158,Poor
SME0191,Trading,Abu Dhabi,8.3,373634,-0.057,0.15,878,54,11,24,320736,Excellent
SME0192,E-commerce,Dubai,4.3,184863,-0.35,0.543,470,42,9,14,148949,Excellent
SME0193,Retail,Ras Al Khaimah,12.4,35175,0.068,0.101,70,35,23,15,27757,Fair
SME0194,Professional Services,Umm Al Quwain,7.6,31758,-0.246,0.329,115,38,31,19,22648,Good
SME0195,Retail,Ras Al Khaimah,4.7,171659,0.436,0.18,440,17,90,13,225182,Excellent
SME0196,E-commerce,Dubai,1.7,39979,0.119,0.131,91,21,30,43,43600,Fair
SME0197,Healthcare,Dubai,5.4,108076,-0.119,0.095,187,73,13,18,95020,Fair
SME0198,Trading,Sharjah,10.5,197798,-0.074,0.383,404,7,44,39,163402,Poor
SME0199,E-commerce,Dubai,12.8,47706,-0.336,0.099,155,67,61,16,50250,Poor
SME0200,Logistics,Sharjah,3.7,59382,-0.162,0.424,152,89,15,28,50196,Good
SME0201,Professional Services,Abu Dhabi,20.5,90639,0.304,0.34,163,54,47,28,120267,Fair
SME0202,Hospitality,Abu Dhabi,10.0,175763,0.571,0.211,575,52,56,25,233285,Good
SME0203,F&B,Ajman,2.3,228610,0.24,0.522,519,21,44,58,234763,Fair
SME0204,Retail,Sharjah,1.9,182772,0.06,0.338,407,23,17,62,130680,Good
SME0205,Retail,Dubai,4.5,116147,-0.015,0.05,288,30,31,42,106860,Good
SME0206,E-commerce,Dubai,3.7,66536,-0.13,0.271,86,15,35,51,60830,Excellent
SME0207,Retail,Abu Dhabi,6.9,43903,0.533,0.318,110,22,54,40,49151,Good
SME0208,Manufacturing,Abu Dhabi,5.0,120136,0.038,0.173,238,42,18,17,155588,Good
SME0209,Retail,Dubai,3.9,154577,0.545,0.237,432,29,48,22,182455,Fair
SME0210,F&B,Dubai,1.2,123452,0.387,0.306,240,45,25,4,130705,Excellent
SME0211,Manufacturing,Sharjah,7.7,31123,-0.303,0.216,56,73,21,11,29425,Fair
SME0212,Construction,Ajman,1.1,89516,-0.067,0.151,236,44,28,7,110150,Excellent
SME0213,E-commerce,Abu Dhabi,10.0,349267,-0.067,0.102,788,52,4,14,404679,Good
SME0214,Professional Services,Dubai,0.7,105027,0.062,0.489,307,12,5,30,115192,Good
SME0215,Manufacturing,Dubai,1.0,55613,0.067,0.19,178,72,6,17,74936,Good
SME0216,Manufacturing,Abu Dhabi,2.3,1373779,0.65,0.321,2392,11,36,45,1775671,Good
SME0217,Retail,Dubai,3.4,106447,-0.157,0.183,278,28,23,11,124034,Excellent
SME0218,Retail,Abu Dhabi,2.9,151249,0.13,0.404,943,18,17,38,177379,Excellent
SME0219,Trading,Sharjah,3.4,214501,0.216,0.204,324,9,26,11,267488,Fair
SME0220,F&B,Dubai,5.9,67848,0.08,0.434,192,43,49,56,64818,Excellent
SME0221,Logistics,Dubai,2.4,76414,0.104,0.258,182,55,25,11,107204,Fair
SME0222,F&B,Dubai,6.0,562927,-0.15,0.05,870,90,12,34,524746,Fair
SME0223,Manufacturing,Ras Al Khaimah,0.5,435110,0.103,0.139,1005,47,99,14,605965,Excellent
SME0224,Hospitality,Sharjah,2.3,230369,0.193,0.232,535,22,27,68,265783,Fair
SME0225,E-commerce,Dubai,1.0,204763,0.152,0.235,677,29,56,67,199232,Fair
SME0226,Trading,Ras Al Khaimah,10.0,65098,0.205,0.406,256,10,45,33,51780,Fair
SME0227,Retail,Abu Dhabi,2.7,323159,0.391,0.383,751,31,20,33,318793,Fair
SME0228,Construction,Abu Dhabi,7.4,85250,0.286,0.263,173,39,71,42,125812,Good
SME0229,Healthcare,Fujairah,0.8,166561,0.096,0.168,342,54,18,37,216605,Poor
SME0230,Retail,Dubai,12.7,27079,-0.178,0.073,69,63,35,46,30494,Excellent
SME0231,Retail,Dubai,5.2,19250,-0.052,0.13,43,53,32,11,25981,Excellent
SME0232,F&B,Abu Dhabi,4.8,121544,0.032,0.141,530,20,34,25,107575,Fair
SME0233,Hospitality,Dubai,1.2,57587,0.136,0.158,114,16,64,15,71152,Good
SME0234,Healthcare,Sharjah,2.1,24138,-0.025,0.185,51,60,28,66,17146,Good
SME0235,Trading,Dubai,4.0,241830,-0.126,0.103,352,8,31,8,168080,Good
SME0236,Professional Services,Dubai,2.1,595233,-0.181,0.26,1320,116,32,73,679423,Good
SME0237,F&B,Dubai,9.3,302128,-0.283,0.059,897,24,88,25,236830,Poor
SME0238,Professional Services,Abu Dhabi,5.1,78899,0.028,0.116,178,78,54,47,81404,Excellent
SME0239,Retail,Dubai,2.2,109921,-0.243,0.203,268,27,8,17,118683,Excellent
SME0240,Retail,Dubai,8.4,232013,-0.14,0.102,462,56,18,8,184926,Fair
SME0241,Professional Services,Ras Al Khaimah,3.6,254855,-0.007,0.068,562,17,29,64,199613,Fair
SME0242,Professional Services,Dubai,8.1,73323,-0.214,0.512,245,40,63,35,50280,Fair
SME0243,E-commerce,Dubai,3.2,129161,0.164,0.268,509,10,67,9,159713,Excellent
SME0244,Construction,Dubai,7.0,225376,0.243,0.148,468,48,27,23,227570,Fair
SME0245,Healthcare,Dubai,3.5,209634,-0.041,0.371,340,17,18,22,203092,Good
SME0246,Trading,Dubai,9.3,136401,-0.016,0.377,297,19,24,35,116568,Fair
SME0247,Healthcare,Abu Dhabi,0.8,118214,0.198,0.224,216,30,30,11,126028,Excellent
SME0248,F&B,Dubai,1.6,299640,-0.077,0.345,524,34,23,9,252548,Good
SME0249,Logistics,Ras Al Khaimah,4.3,396510,-0.092,0.124,823,54,57,28,292450,Good
SME0250,F&B,Fujairah,2.8,139146,0.343,0.242,395,51,22,12,175414,Good
SME0251,Healthcare,Dubai,3.5,564426,0.275,0.371,1192,43,15,66,497937,Excellent
SME0252,Trading,Dubai,7.6,109973,0.212,0.175,185,67,24,44,104177,Good
SME0253,F&B,Dubai,3.4,368431,0.284,0.503,717,50,33,43,507073,Fair
SME0254,E-commerce,Abu Dhabi,6.1,198968,-0.35,0.154,369,52,58,3,179194,Good
SME0255,E-commerce,Dubai,2.3,2023085,0.378,0.174,5128,19,14,17,2098373,Good
SME0256,Manufacturing,Ras Al Khaimah,0.6,67307,0.166,0.151,158,70,34,20,77414,Good
SME0257,Professional Services,Sharjah,8.1,54650,0.302,0.182,125,65,34,10,75715,Fair
SME0258,Retail,Ajman,14.6,155745,0.165,0.089,351,44,38,38,169372,Good
SME0259,Retail,Abu Dhabi,5.7,152917,0.091,0.247,259,63,22,34,187017,Good
SME0260,Healthcare,Umm Al Quwain,4.5,686897,0.019,0.308,4080,38,38,42,646207,Poor
SME0261,Retail,Dubai,5.2,61814,0.161,0.166,136,93,44,50,77332,Fair
SME0262,Professional Services,Dubai,11.6,211890,0.011,0.526,481,42,21,49,174302,Excellent
SME0263,Logistics,Dubai,5.7,380963,0.271,0.296,1335,38,31,118,279152,Good
SME0264,Retail,Fujairah,8.4,198581,-0.269,0.037,374,50,25,24,223595,Poor
SME0265,Trading,Abu Dhabi,8.1,67483,-0.039,0.217,186,104,16,21,76346,Excellent
SME0266,E-commerce,Ajman,9.9,415134,0.53,0.508,1020,27,10,37,680262,Good
SME0267,E-commerce,Dubai,4.4,356713,-0.058,0.121,531,48,18,56,326534,Excellent
SME0268,Retail,Umm Al Quwain,3.2,181615,0.027,0.053,318,28,19,6,193870,Fair
SME0269,Retail,Abu Dhabi,7.1,129793,-0.114,0.494,250,38,10,13,128344,Good
SME0270,Retail,Abu Dhabi,9.4,132216,0.154,0.25,267,22,36,16,173670,Poor
SME0271,Retail,Umm Al Quwain,10.6,102035,-0.082,0.304,237,51,46,26,96972,Fair
SME0272,E-commerce,Dubai,12.5,216302,0.039,0.054,314,40,24,17,210143,Excellent
SME0273,Retail,Dubai,8.8,112024,0.267,0.289,205,63,27,51,168888,Good
SME0274,Healthcare,Abu Dhabi,3.0,63645,-0.074,0.167,177,73,20,29,73851,Poor
SME0275,Manufacturing,Dubai,5.7,76064,0.253,0.214,270,79,26,23,102368,Excellent
SME0276,F&B,Dubai,5.3,48935,0.261,0.492,94,29,38,34,46762,Excellent
SME0277,Logistics,Dubai,4.9,171301,0.312,0.164,386,50,34,4,199856,Fair
SME0278,F&B,Dubai,7.1,90633,0.111,0.298,325,82,26,33,131366,Good
SME0279,Trading,Ras Al Khaimah,4.1,183416,0.65,0.266,366,22,19,12,245181,Excellent
SME0280,Trading,Abu Dhabi,4.1,233786,0.312,0.39,560,42,43,45,194920,Excellent
SME0281,Retail,Dubai,15.2,64009,0.151,0.103,125,23,20,5,49563,Good
SME0282,E-commerce,Dubai,4.6,436077,-0.113,0.196,867,103,11,36,678775,Fair
SME0283,E-commerce,Abu Dhabi,9.8,99928,0.059,0.053,265,82,30,12,129993,Good
SME0284,E-commerce,Abu Dhabi,10.2,86799,0.394,0.186,165,55,7,57,110554,Good
SME0285,Construction,Fujairah,5.8,263032,0.456,0.23,674,55,33,6,504482,Fair
SME0286,F&B,Fujairah,4.3,19466,0.405,0.262,49,24,34,26,22349,Excellent
SME0287,Retail,Dubai,2.4,55717,0.253,0.166,144,87,18,40,89372,Fair
SME0288,Logistics,Dubai,1.1,326530,-0.196,0.224,557,33,20,32,328696,Good
SME0289,Construction,Abu Dhabi,7.5,39863,0.187,0.38,96,26,47,32,40732,Good
SME0290,Retail,Abu Dhabi,6.5,282078,-0.193,0.15,459,75,83,8,387699,Good
SME0291,Professional Services,Abu Dhabi,8.2,354728,-0.247,0.078,534,31,28,8,439702,Fair
SME0292,Retail,Sharjah,3.3,79695,0.133,0.134,221,27,5,31,64873,Poor
SME0293,Trading,Abu Dhabi,16.2,195734,0.195,0.27,1968,65,18,28,173281,Excellent
